,Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
0,181,Electric Kettle,Photography,517.22,148.0,Sony,2015,
1,204,VR Headset,Home Appliances,1346.66,448.0,Logitech,2015,4.9
2,275,Toaster,Photography,828.41,414.0,Seagate,2015,4.1
3,152,RAM,Smart Home,454.51,162.0,TP-Link,2015,4.0
4,153,Microwave,Office Supplies,286.26,12.0,Philips,2015,3.5
5,196,Keyboard,Wearable,1382.49,349.0,Cuisinart,2015,4.4
6,213,Drawing Tablet,Office Supplies,490.56,338.0,Microsoft,2015,4.4
7,155,Blender,Photography,880.46,98.0,Cuisinart,2015,
8,270,VR Headset,Wearable,1365.1,243.0,Microsoft,2015,3.9
9,155,Camera,Smart Home,359.61,312.0,Philips,2016,3.6
10,246,Camera,Accessories,1138.7,452.0,HP,2016,
11,285,RAM,Accessories,712.03,170.0,TP-Link,2016,4.2
12,283,Portable Speaker,Networking,623.81,31.0,HP,2016,4.0
13,114,Smart Light,Wearable,248.16,177.0,Samsung,2016,3.7
14,205,Camera,Electronics,324.52,31.0,TP-Link,2016,3.9
15,242,Smart Light,Office Supplies,1447.61,201.0,Nikon,2016,4.8
16,153,Router,Storage,1417.61,149.0,DJI,2016,4.7
17,105,External Hard Drive,Photography,1174.62,486.0,Bose,2016,
18,193,Oven,Networking,1081.64,141.0,TP-Link,2016,4.2
19,172,Bluetooth Adapter,Electronics,325.85,171.0,Cuisinart,2016,3.7
20,154,Cooling Pad,Photography,64.62,131.0,Keurig,2016,
21,299,Game Controller,Electronics,737.15,289.0,Dyson,2016,5.0
22,174,Portable Speaker,Home Appliances,1234.33,289.0,Blue Yeti,2017,4.7
23,160,Air Purifier,Accessories,719.11,465.0,LG,2017,
24,251,RAM,Smart Home,179.92,326.0,Ninja,2017,4.6
25,108,Mouse,Accessories,40.0,,HP,2017,
26,225,Smart Refrigerator,Electronics,1452.67,391.0,JBL,2017,4.2
27,128,External Hard Drive,Wearable,839.11,40.0,JBL,2017,3.5
28,120,Smart Light,Audio,918.73,371.0,Seagate,2017,
29,227,Tripod,Accessories,800.72,118.0,Fitbit,2017,4.6
30,265,Washing Machine,Smart Home,393.16,357.0,Bose,2017,4.5
31,255,Gaming Console,Accessories,93.92,439.0,Seagate,2017,4.4
32,297,Wireless Charger,Accessories,848.71,80.0,Samsung,2017,4.5
33,227,Toaster,Gaming,1436.18,98.0,Cuisinart,2017,4.3
34,106,Drawing Tablet,Wearable,234.88,214.0,TP-Link,2017,4.2
35,252,Smart Refrigerator,Electronics,1369.96,360.0,iRobot,2017,4.9
36,163,Processor,Accessories,978.74,444.0,Samsung,2017,3.6
37,126,USB Flash Drive,Accessories,20.0,150.0,SanDisk,2017,4.1
38,217,USB Flash Drive,Office Supplies,906.87,443.0,Logitech,2017,3.7
39,131,Processor,Photography,112.2,466.0,Keurig,2017,
40,223,Air Purifier,Accessories,1294.8,55.0,Fitbit,2017,4.1
41,228,Mouse,Home Appliances,495.38,371.0,Philips,2017,4.0
42,123,Motherboard,Computer Components,200.0,100.0,ASUS,2018,4.3
43,110,Tripod,Storage,1288.45,140.0,Philips,2018,
44,127,Cooling Pad,Accessories,45.0,,Cooler Master,2018,
45,254,Oven,Networking,573.82,368.0,Ring,2018,4.2
46,107,Keyboard,Accessories,50.0,95.0,Logitech,2018,4.0
47,115,Microphone,Audio,60.0,90.0,Blue Yeti,2018,4.0
48,147,Mouse,Accessories,1139.64,108.0,DJI,2018,4.2
49,131,Wireless Charger,Accessories,75.0,105.0,Belkin,2018,4.0
50,271,Game Controller,Audio,842.4,401.0,Dyson,2018,3.9
51,108,Monitor,Wearable,1050.3,248.0,Cuisinart,2018,4.4
52,214,Laptop,Gaming,535.13,232.0,Seagate,2018,4.9
53,238,Smartphone,Home Appliances,373.21,497.0,Sony,2018,3.7
54,245,Smart Refrigerator,Office Supplies,530.48,277.0,Canon,2018,4.8
55,138,Drone,Drones,300.0,30.0,DJI,2018,
56,296,Robot Vacuum,Networking,942.54,147.0,Fitbit,2018,4.9
57,147,Smart Refrigerator,Home Appliances,450.0,55.0,Samsung,2018,4.3
58,113,Air Purifier,Storage,363.2,459.0,iRobot,2018,3.7
59,158,Monitor,Photography,825.27,331.0,Amazon,2019,4.4
60,115,Smart Refrigerator,Gaming,169.8,411.0,Breville,2019,4.3
61,250,Smart Doorbell,Wearable,265.96,118.0,Samsung,2019,4.3
62,109,Monitor,Electronics,250.0,60.0,LG,2019,4.1
63,121,Processor,Computer Components,300.0,65.0,Intel,2019,4.2
64,112,Microphone,Photography,98.45,332.0,Blue Yeti,2019,4.4
