Index,Product ID,Product Name,Category,Price,Quantity Sold,Brand,Release Year,Ratings
1,153,Microwave,Office Supplies,286.26,12,Philips,2015,3.5
2,114,Smart Light,Wearable,248.16,177,Samsung,2016,3.7
3,286,USB Flash Drive,Audio,1012.2,117,HP,2020,3.9
4,128,External Hard Drive,Wearable,839.11,40,JBL,2017,3.5
5,126,Monitor,Electronics,737.47,372,Apple,2023,4.8
6,283,Portable Speaker,Networking,623.81,31,HP,2016,4.0
7,282,Cooling Pad,Storage,1095.42,492,TP-Link,2022,3.5
8,112,Microphone,Photography,98.45,332,Blue Yeti,2019,4.4
9,172,Bluetooth Adapter,Electronics,325.85,171,Cuisinart,2016,3.7
10,213,Drawing Tablet,Office Supplies,490.56,338,Microsoft,2015,4.4
11,270,Microwave,Storage,1036.11,150,Nikon,2019,4.5
12,106,Drawing Tablet,Wearable,234.88,214,TP-Link,2017,4.2
13,122,Microphone,Office Supplies,688.68,362,TP-Link,2021,4.3
14,174,Portable Speaker,Home Appliances,1234.33,289,Blue Yeti,2017,4.7
15,160,Air Purifier,Accessories,719.11,465,LG,2017,nan
16,109,Smart Light,Gaming,1062.43,436,Logitech,2023,nan
17,193,Oven,Networking,1081.64,141,TP-Link,2016,4.2
18,279,Smart Refrigerator,Photography,957.41,270,LG,2020,nan
19,134,USB Flash Drive,Office Supplies,540.78,456,Xbox,2021,4.4
20,175,Microphone,Networking,1207.45,344,HP,2021,3.6
21,129,Gaming Console,Photography,209.78,241,Bose,2021,nan
22,297,Wireless Charger,Accessories,848.71,80,Samsung,2017,4.5
23,227,Toaster,Gaming,1436.18,98,Cuisinart,2017,4.3
24,138,Drawing Tablet,Smart Home,159.28,321,Ring,2021,4.6
25,134,Webcam,Networking,1137.86,106,Apple,2020,3.7
26,185,Motherboard,Photography,744.98,247,Breville,2022,3.6
27,110,Tripod,Storage,1288.45,140,Philips,2018,nan
28,193,RAM,Wearable,608.9,106,Blue Yeti,2019,3.9
29,252,VR Headset,Smart Home,524.19,293,Dyson,2021,4.3
30,131,Processor,Photography,112.2,466,Keurig,2017,nan
31,254,Oven,Networking,573.82,368,Ring,2018,4.2
32,115,Smart Refrigerator,Gaming,169.8,411,Breville,2019,4.3
